source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
Q16539	P49137	MAPK14	MAPKAPK2	1	1	0	1	1	0
P19235	O60674	EPOR	JAK2	1	1	0	0	0	0
Q9Y219	P46531	JAG2	NOTCH1	1	1	1	1	1	0
P46531	O00548	NOTCH1	DLL1	1	1	1	0	0	0
P05019	P08069	IGF1	IGF1R	1	1	0	1	1	0
P00519	O15350	ABL1	TP73	1	1	0	1	1	0
P30086	P04049	PEBP1	RAF1	1	1	1	1	0	1
P45985	P45983	MAP2K4	MAPK8	1	1	0	1	1	0
O43318	P45985	MAP3K7	MAP2K4	1	1	0	1	1	0
Q16539	Q8IW41	MAPK14	MAPKAPK5	1	1	0	1	1	0
P46531	P78504	NOTCH1	JAG1	1	1	0	0	0	0
P78504	P46531	JAG1	NOTCH1	1	1	1	1	1	0
P01116	P04049	KRAS	RAF1	1	1	0	1	1	0
Q8N474	P56705	SFRP1	WNT4	1	1	1	1	0	1
Q8N474	P04628	SFRP1	WNT1	1	1	1	1	1	0
Q15382	P42345	RHEB	MTOR	1	1	0	1	1	0
P49815	Q15382	TSC2	RHEB	1	1	1	1	0	1
P49815	Q92574	TSC2	TSC1	1	1	1	1	1	0
P07949	P29353	RET	SHC1	1	1	0	1	1	0
P04629	P29353	NTRK1	SHC1	1	1	0	1	1	0
P61586	O75116	RHOA	ROCK2	1	1	0	1	1	0
Q02750	P27361	MAP2K1	MAPK3	1	1	0	1	1	0
P28482	Q15418	MAPK1	RPS6KA1	1	1	0	1	1	0
P04049	Q02750	RAF1	MAP2K1	1	1	0	1	1	0
P31749	P38936	AKT1	CDKN1A	1	1	1	1	1	0
P41279	P45985	MAP3K8	MAP2K4	1	1	0	1	1	0
Q9GZX6	Q08334	IL22	IL10RB	1	1	0	1	1	0
P01588	P19235	EPO	EPOR	1	1	0	1	1	0
O60674	P40763	JAK2	STAT3	1	1	0	1	1	0
Q13315	P00519	ATM	ABL1	1	1	0	1	1	0
P22301	Q13651	IL10	IL10RA	1	1	0	1	1	0
P35568	P23458	IRS1	JAK1	1	1	0	0	0	0
P06213	Q9Y4H2	INSR	IRS2	1	1	1	1	1	0
P19525	P42224	EIF2AK2	STAT1	1	1	1	1	1	0
P01579	P15260	IFNG	IFNGR1	1	1	0	1	1	0
P11717	P01344	IGF2R	IGF2	1	1	1	0	0	0
P01344	P08069	IGF2	IGF1R	1	1	0	1	1	0
P49841	O15169	GSK3B	AXIN1	1	1	0	1	1	0
P49841	O75581	GSK3B	LRP6	1	1	0	1	1	0
O00141	O43524	SGK1	FOXO3	1	1	1	1	0	1
P31749	Q12778	AKT1	FOXO1	1	1	1	1	0	1
P24468	P37231	NR2F2	PPARG	1	1	1	1	0	1
P37231	P24468	PPARG	NR2F2	1	1	0	0	0	0
P49841	P01106	GSK3B	MYC	1	1	1	1	0	1
Q9Y6K9	O14920	IKBKG	IKBKB	1	1	0	1	1	0
P00519	Q96MU7	ABL1	YTHDC1	1	1	1	1	0	1
P36507	P27361	MAP2K2	MAPK3	1	1	0	1	1	0
Q9UQF2	P45983	MAPK8IP1	MAPK8	1	1	1	1	0	1
Q02750	P28482	MAP2K1	MAPK1	1	1	0	1	1	0
Q15750	O43318	TAB1	MAP3K7	1	1	0	1	1	0
Q9NYJ8	O43318	TAB2	MAP3K7	1	1	0	1	1	0
Q9UER7	Q99683	DAXX	MAP3K5	1	1	0	1	1	0
P01133	P00533	EGF	EGFR	1	1	0	1	1	0
P01583	P14778	IL1A	IL1R1	1	1	0	1	1	0
O94907	O75581	DKK1	LRP6	1	1	1	1	1	0
P41221	Q13467	WNT5A	FZD5	1	1	0	1	1	0
P49841	O75197	GSK3B	LRP5	1	1	0	0	0	0
Q92837	P49841	FRAT1	GSK3B	1	1	1	1	0	1
P45983	P28324	MAPK8	ELK4	1	1	0	1	1	0
O43318	Q9Y6K9	MAP3K7	IKBKG	1	1	1	1	1	0
P23458	P40763	JAK1	STAT3	1	1	1	1	1	0
P35222	Q12778	CTNNB1	FOXO1	1	1	0	1	1	0
Q02297	P04626	NRG1	ERBB2	1	1	0	1	1	0
P31749	O43524	AKT1	FOXO3	1	1	1	1	1	0
P31749	P98177	AKT1	FOXO4	1	1	1	1	1	0
P35222	O43524	CTNNB1	FOXO3	1	1	0	1	1	0
Q00604	Q9ULV1	NDP	FZD4	1	1	0	1	1	0
O95996	P35222	APC2	CTNNB1	1	1	1	1	1	0
P49841	P35222	GSK3B	CTNNB1	1	1	1	1	0	1
P04629	P01138	NTRK1	NGF	1	1	0	0	0	0
Q92934	Q07817	BAD	BCL2L1	1	1	1	1	0	1
P24394	P23458	IL4R	JAK1	1	1	0	1	1	0
O75676	P01100	RPS6KA4	FOS	1	1	0	1	1	0
P05112	P24394	IL4	IL4R	1	1	0	1	1	0
P24394	P52333	IL4R	JAK3	1	1	0	1	1	0
P26951	O60674	IL3RA	JAK2	1	1	0	1	1	0
Q8N2W9	P42224	PIAS4	STAT1	1	1	1	1	0	1
P41279	Q02750	MAP3K8	MAP2K1	1	1	0	1	1	0
O00141	Q12778	SGK1	FOXO1	1	1	1	1	0	1
P45983	P05412	MAPK8	JUN	1	1	0	1	1	0
Q16539	Q9HBH9	MAPK14	MKNK2	1	1	0	1	1	0
Q16539	Q9BUB5	MAPK14	MKNK1	1	1	0	1	1	0
P52564	Q15759	MAP2K6	MAPK11	1	1	0	1	1	0
P10912	O60674	GHR	JAK2	1	1	0	1	1	0
P16471	O60674	PRLR	JAK2	1	1	0	1	1	0
P48357	O60674	LEPR	JAK2	1	1	0	1	1	0
Q01344	O60674	IL5RA	JAK2	1	1	0	1	1	0
O14640	Q9Y4D1	DVL1	DAAM1	1	1	0	1	1	0
Q9Y283	O14640	INVS	DVL1	1	1	1	1	0	1
P49674	O14640	CSNK1E	DVL1	1	1	1	1	1	0
O14640	P63000	DVL1	RAC1	1	1	0	1	1	0
P49407	O14640	ARRB1	DVL1	1	1	0	1	1	0
O75676	P16220	RPS6KA4	CREB1	1	1	0	1	1	0
P01135	P00533	TGFA	EGFR	1	1	0	1	1	0
P29350	P20963	PTPN6	CD247	1	1	1	1	0	1
O14920	P25963	IKBKB	NFKBIA	1	1	1	1	0	1
O14920	Q15653	IKBKB	NFKBIB	1	1	1	1	0	1
O15111	Q15653	CHUK	NFKBIB	1	1	1	1	0	1
O15530	P31749	PDPK1	AKT1	1	1	0	1	1	0
Q13627	P08151	DYRK1A	GLI1	1	1	0	1	1	0
O00587	P78504	MFNG	JAG1	1	1	1	1	0	1
Q969H0	P46531	FBXW7	NOTCH1	1	1	1	1	0	1
P67775	O15169	PPP2CA	AXIN1	1	1	1	1	1	0
Q04759	Q9BXL7	PRKCQ	CARD11	1	1	0	1	1	0
P45983	P15336	MAPK8	ATF2	1	1	0	1	1	0
Q09472	Q15796	EP300	SMAD2	1	1	1	1	1	0
Q9UBE8	Q9UJU2	NLK	LEF1	1	1	1	1	0	1
P06239	Q9Y3P8	LCK	SIT1	1	1	0	1	1	0
O43318	Q9UBE8	MAP3K7	NLK	1	1	0	1	1	0
P49841	P10071	GSK3B	GLI3	1	1	1	1	1	0
P49841	Q9UMX1	GSK3B	SUFU	1	1	0	1	1	0
Q16539	Q14765	MAPK14	STAT4	1	1	0	1	1	0
P06239	P20963	LCK	CD247	1	1	0	1	1	0
P06239	P43403	LCK	ZAP70	1	1	0	1	1	0
P43403	Q9UQC2	ZAP70	GAB2	1	1	0	1	1	0
P43403	P15498	ZAP70	VAV1	1	1	0	1	1	0
P43403	Q13094	ZAP70	LCP2	1	1	0	1	1	0
Q9Y2U5	P45985	MAP3K2	MAP2K4	1	1	0	1	1	0
P29350	P23458	PTPN6	JAK1	1	1	1	1	1	0
Q9HCE7	O15105	SMURF1	SMAD7	1	1	1	1	1	0
Q6ZNA4	O15105	RNF111	SMAD7	1	1	1	1	0	1
Q9HCE7	P36897	SMURF1	TGFBR1	1	1	1	1	1	0
Q9Y2U5	Q13163	MAP3K2	MAP2K5	1	1	0	1	1	0
Q13163	Q13164	MAP2K5	MAPK7	1	1	0	1	1	0
Q99759	Q13163	MAP3K3	MAP2K5	1	1	0	1	1	0
P37173	P36897	TGFBR2	TGFBR1	1	1	0	1	1	0
P36897	P29353	TGFBR1	SHC1	1	1	0	1	1	0
Q16539	P15336	MAPK14	ATF2	1	1	0	1	1	0
Q16539	P84022	MAPK14	SMAD3	1	1	0	1	1	0
Q16539	Q06413	MAPK14	MEF2C	1	1	0	1	1	0
Q96J02	O15105	ITCH	SMAD7	1	1	1	1	1	0
P22681	P00533	CBL	EGFR	1	1	1	1	1	0
Q8IVT5	P04049	KSR1	RAF1	1	1	0	1	1	0
Q13882	Q07666	PTK6	KHDRBS1	1	1	0	1	1	0
P35813	Q15796	PPM1A	SMAD2	1	1	1	1	0	1
Q9Y5K5	P36897	UCHL5	TGFBR1	1	1	0	1	1	0
O75925	Q13485	PIAS1	SMAD4	1	1	0	1	1	0
Q13153	Q02750	PAK1	MAP2K1	1	1	0	1	1	0
P00533	P29353	EGFR	SHC1	1	1	0	1	1	0
P27361	P40763	MAPK3	STAT3	1	1	1	1	1	0
O75582	P16220	RPS6KA5	CREB1	1	1	0	1	1	0
P61586	Q13464	RHOA	ROCK1	1	1	0	1	1	0
O75582	P18846	RPS6KA5	ATF1	1	1	0	1	1	0
O15111	P25963	CHUK	NFKBIA	1	1	1	1	0	1
Q08881	P19174	ITK	PLCG1	1	1	0	1	1	0
Q9H2X6	Q13363	HIPK2	CTBP1	1	1	1	1	0	1
P17706	P42224	PTPN2	STAT1	1	1	1	1	0	1
P28562	Q16539	DUSP1	MAPK14	1	1	1	1	0	1
Q16539	P19419	MAPK14	ELK1	1	1	0	1	1	0
P23458	P42226	JAK1	STAT6	1	1	1	1	1	0
O14543	P23458	SOCS3	JAK1	1	1	1	0	0	0
P23458	P52333	JAK1	JAK3	1	1	0	0	0	0
P52333	P40763	JAK3	STAT3	1	1	0	1	1	0
P29350	P52333	PTPN6	JAK3	1	1	1	1	1	0
O60674	Q92783	JAK2	STAM	1	1	0	1	1	0
P27361	P19419	MAPK3	ELK1	1	1	0	1	1	0
P52333	P42229	JAK3	STAT5A	1	1	0	1	1	0
P06239	P27986	LCK	PIK3R1	1	1	1	1	1	0
P06239	O00459	LCK	PIK3R2	1	1	0	1	1	0
P52333	Q92783	JAK3	STAM	1	1	0	1	1	0
Q06124	Q9UQC2	PTPN11	GAB2	1	1	1	1	1	0
Q9UQC2	Q06124	GAB2	PTPN11	1	1	0	0	0	0
Q06124	P42229	PTPN11	STAT5A	1	1	1	1	1	0
P63165	Q13485	SUMO1	SMAD4	1	1	0	1	1	0
P00519	Q06609	ABL1	RAD51	1	1	1	1	1	0
Q13177	P00519	PAK2	ABL1	1	1	1	1	1	0
P00519	Q14511	ABL1	NEDD9	1	1	0	1	1	0
P00519	P16333	ABL1	NCK1	1	1	0	1	1	0
P00519	Q00987	ABL1	MDM2	1	1	1	1	0	1
P00519	P29323	ABL1	EPHB2	1	1	1	1	1	0
P29323	P00519	EPHB2	ABL1	1	1	0	0	0	0
P22681	P00519	CBL	ABL1	1	1	1	0	0	0
P03372	P06401	ESR1	PGR	1	1	0	0	0	0
P06401	P03372	PGR	ESR1	1	1	1	1	1	0
P00519	P46109	ABL1	CRKL	1	1	1	1	1	0
P42684	O94875	ABL2	SORBS2	1	1	0	1	1	0
O94875	P00519	SORBS2	ABL1	1	1	0	0	0	0
P00519	O94875	ABL1	SORBS2	1	1	0	1	1	0
P06400	P00519	RB1	ABL1	1	1	1	0	0	0
P00519	Q99638	ABL1	RAD9A	1	1	1	1	0	1
O43586	P00519	PSTPIP1	ABL1	1	1	1	0	0	0
P00533	P42229	EGFR	STAT5A	1	1	0	1	1	0
Q15303	P42229	ERBB4	STAT5A	1	1	0	1	1	0
P36897	P84022	TGFBR1	SMAD3	1	1	1	1	1	0
P36897	Q15796	TGFBR1	SMAD2	1	1	1	1	1	0
P31749	P84022	AKT1	SMAD3	1	1	1	1	1	0
P03372	P10276	ESR1	RARA	1	1	0	1	1	0
P10276	P03372	RARA	ESR1	1	1	0	0	0	0
P15056	Q02750	BRAF	MAP2K1	1	1	0	1	1	0
P04049	P36507	RAF1	MAP2K2	1	1	0	1	1	0
P15056	P36507	BRAF	MAP2K2	1	1	0	1	1	0
P28482	P04049	MAPK1	RAF1	1	1	1	1	1	0
P27361	P04049	MAPK3	RAF1	1	1	1	1	1	0
P36507	P28482	MAP2K2	MAPK1	1	1	0	1	1	0
P27361	Q15418	MAPK3	RPS6KA1	1	1	0	1	1	0
P11274	P00519	BCR	ABL1	1	1	0	0	0	0
Q8IZP0	P00519	ABI1	ABL1	1	1	0	0	0	0
P09919	Q99062	CSF3	CSF3R	1	1	0	1	1	0
P04141	P15509	CSF2	CSF2RA	1	1	0	1	1	0
P14210	P08581	HGF	MET	1	1	0	1	1	0
P31749	P49841	AKT1	GSK3B	1	1	1	1	0	1
P01308	P06213	INS	INSR	1	1	0	1	1	0
Q15466	P41235	NR0B2	HNF4A	1	1	0	1	1	0
O75469	P41235	NR1I2	HNF4A	1	1	0	0	0	0
Q16690	P27361	DUSP5	MAPK3	1	1	1	1	0	1
Q9Y6R4	P52564	MAP3K4	MAP2K6	1	1	0	1	1	0
Q9Y6R4	P45985	MAP3K4	MAP2K4	1	1	0	1	1	0
Q15465	Q13635	SHH	PTCH1	1	1	1	1	0	1
O43323	Q13635	DHH	PTCH1	1	1	1	1	1	0
Q14623	Q13635	IHH	PTCH1	1	1	1	1	0	1
P06213	P35568	INSR	IRS1	1	1	0	1	1	0
Q13635	Q99835	PTCH1	SMO	1	1	1	1	0	1
P46734	Q16539	MAP2K3	MAPK14	1	1	0	1	1	0
Q99683	P46734	MAP3K5	MAP2K3	1	1	0	1	1	0
